@RELATION	text2arff

@ATTRIBUTE	nerede_bulunur	STRING
@ATTRIBUTE	canli_cansiz	STRING
@ATTRIBUTE	ust_kavrami_nedir	STRING
@ATTRIBUTE	yaninda_neler_bulunur	STRING
@ATTRIBUTE	icinde_neler_bulunur	STRING
@ATTRIBUTE	hammaddesi_nedir	STRING
@ATTRIBUTE	ne_ise_yarar	STRING
@ATTRIBUTE	kim_kullanir	STRING
@ATTRIBUTE	sifatlari	STRING
@ATTRIBUTE	sekli_nasil	STRING
@ATTRIBUTE	hacmi	STRING
@ATTRIBUTE	agirlik	STRING
@ATTRIBUTE	rengi	STRING
@ATTRIBUTE	kim_ne_yapar	STRING
@ATTRIBUTE	kim_ne_ile_yapilir	STRING
@ATTRIBUTE	nasil_yapilir	STRING
@ATTRIBUTE	ney_kime_yapilir	STRING
@ATTRIBUTE	ney_kimi_yapilir	STRING
@ATTRIBUTE	nerede_yapilir	STRING
@ATTRIBUTE	fiziksel_zihinsel	STRING
@ATTRIBUTE	ne_olunca_yapilir	STRING
@ATTRIBUTE	yapinca_ne_olur	STRING
@ATTRIBUTE	nicin_yapilir	STRING
@ATTRIBUTE	class	{ag,agac,akbil,akordeon,akumulator,alci,altin,ambalaj,anahtar,antibiyotik,apartman,araba,arac,ari,arma,armut,arpa,artik,asansor,asetat,asfalt,asi,asit,aski,astar,atac,atki,atlet,atom,av,avize,ayak,ayakkabi,aygitlar,ayirac,ayna,azot,bacak,baharat,bakir,bakla,bal,balik,balsam,banknot,bant,banyo,barometre,baslik,basortusu,baston,batarya,benzin,beton,bez,biblo,bicak,bidon,bilet,bilgisayar,bina,bira,bisiklet,bluz,bor,bornoz,boru,boya,boynuz,brosur,bugday,buhar,bulasik,buldozer,bulgur,buro,burun,buz,buzdolabi,caki,cakmak,calgi,cam,camasir,canli,canta,catal,cati,cavdar,cay,cd,ceket,cekmece,cekyat,celik,cenaze,cep_telefonu,cephane,cerceve,cetvel,cevcere,ceviz,cicek,ciger,cihaz,cikartma,cikolata,cikrik,cila,cilt,cimento,cini,cinko,civa,civata,civi,cokelek,corap,cumle,cuval,daire,dal,damga,dantel,degirmen,demir,deniz,dergi,deri,deterjan,diken,dil,disci,dolap,domates,domuz,dugme,dunya,duvar,ecza,el,elbise,eldiven,elektrik,elektrik_anahtari,elektrik_sigortasi,elma,elmas,enzim,esarp,esya,et,etek,etiket,ev,fanila,fare,fayans,fermuar,fernuar,fici,fildisi,film,filtre,firin,fisek,fistik,florasan,fosil,fotograf,fotokopi,fren,gaz,gazete,gemi,giysi,gokdelen,gomlek,gomlem,goz,gozlem,gozluk,gubre,gumus,halat,halilar,hamur,harclar,harf,harita,hava,havlu,havuc,havuz,hayvan,heykel,hidrojen,hindistan,hoparlor,hormon,hortum,hucre,hurda,hurma,icecek,igne,ilac,inci,insaat,internet,ip,ipek,iplik,irmik,iskemle,islak_mendil,ispirto,izgara,jenerator,kablo,kabuk,kadife,kagit,kahve,kakao,kalay,kalem,kalemtras,kalorifer,kalp,kalsiyum,kamci,kamera,kamis,kamyon,kantar,kap,kapi,karabiber,karanfil,karbon,karin,karton,kartpostal,kartvizit,kase,kasik,katir,kaucuk,kavun,kayak,kayis,kazak,kazan,kece,keci,kemik,kepenk,kerpeten,kibrit,kil,kilit,kilot,kirec,kiremit,kitap,kitap_ayraci,klasor,klavye,klima,kol,kol_saati,koltuk,komur,kondansator,kornis,koyun,kravat,krom,kukurt,kul,kulak,kum,kumas,kumes,kurdelec,kure,kurk,kursun,kus,kutu,lahana,lamba,lastik,lavabo,lehim,lif,likor,lokomotif,losyon,macun,maden,magnezyum,makas,makine,mandal,manken,mantar,manto,margarin,marmelat,marul,masa,maske,mayo,mendil,merdane,mermer,mermi,metal,meyve,miknatis,mikrop,mikroskop,mineral,misir,mobilya,monitor,mont,motor,motorsiklet,mozaik,mum,murekkep,musamba,musluk,muz,muzik,nisasta,not_defteri,oda_spreyi,odun,oksijen,okuz,olta,omuz,org,orgu,ortu,ot,otobus,otomat,oyuncak,pacavra,palet,pamuk,pancar,pano,pantalon,pantolon,papyon,para,parasut,parfum,parke,parmak,parmaklik,patates,patlayici,pecete,pencere,perde,peruk,petrol,peynir,pijama,pil,pipo,pirasa,pirinc,piyano,plaka,plastik,pompa,porselen,poster,profil,projeksiyon,pudra,pul,puro,puro2,,pusula,radar,radyo,raki,ray,recel,resim,rezistans,romork,saat,sabun,sac,sakal,sakatat,sakiz,salatalik,salgam,saman,sandalye,sapka,sarap,savas,sayac,sebze,sehpa,seker,sekerleme,seluloz,semsiye,sepet,seramik,serum,sicim,sigara,sira,sirke,sirt_cantasi,site,siva,siyanur,soba,sofben,sogan,somun,somya,sos,sosis,soya,sozcuk,sozluk,spor,su,su_isiticisi,sunger,supurge,surahi,susleme,sut,tabak,tabanca,tabela,tablo,tahil,tahta,takvim,talas,tank,tarak,tarcin,tas,tavuk,tayt,tebesir,tekne,tel,televizyon,telsiz,tencere,terazi,tereyagi,terlik,termometre,testere,testi,tirmik,tirnak,tohum,toka,toplanti_masasi,toprak,torba,tornavida,toz,traktor,tugla,tul,tup,tutun,tuval,tuy,tuz,tuzluk,un,uzaktan_kumanda,uzum,vagon,vanilya,varil,vazo,vernik,vida,video,vinc,vitamin,yag,yakit,yangin,yapi,yapistirici,yaprak,yastik,yatak,yay,yayin,yazici,yelek,yiyecek,yogurt,yol,yonca,yosun,yumurta,yun,yuzuk,zamk,zehir,zeytinyagi,zimba,zimpara,zincir}

@DATA
"evin kapisi  ofis  okul  balikci teknesi","cansiz","alet","balik  bilgisayar","bilgisayar  yazici","iplik  kablo","balik tutmak  iletisim  haberlesmek","herkes","yogun  yirtik","","","","","","","","","","","","","","",ag
"","","","","","","","","","","","","","evin kapisi  ofis  okul  balikci teknesi","cansiz","alet","balik  bilgisayar","bilgisayar  yazici","iplik  kablo","balik tutmak  iletisim  haberlesmek","","","",ag
"evin kapisi  ofis  okul  balikci teknesi","cansiz","alet","balik  bilgisayar","bilgisayar  yazici","iplik  kablo","balik tutmak  iletisim  haberlesmek","herkes","yogun  yirtik","","","","","","","","","","","","","","",ag
"evin kapisi  ofis  okul  balikci teknesi","cansiz","alet","balik  bilgisayar","bilgisayar  yazici","iplik  kablo","balik tutmak  iletisim  haberlesmek","herkes","yogun  yirtik","","","","","","","","","","","","","","",ag
"evin kapisi  ofis  okul  balikci teknesi","cansiz","alet","balik  bilgisayar","bilgisayar  yazici","iplik  kablo","balik tutmak  iletisim  haberlesmek","herkes","yogun  yirtik","","","","","","","","","","","","","","",ag
"evin kapisi  ofis  okul  balikci teknesi","cansiz","alet","balik  bilgisayar","bilgisayar  yazici","iplik  kablo","balik tutmak  iletisim  haberlesmek","herkes","yogun  yirtik","","","","","","","","","","","","","","",ag
"evin kapisi  ofis  okul  balikci teknesi","cansiz","alet","balik  bilgisayar","bilgisayar  yazici","iplik  kablo","balik tutmak  iletisim  haberlesmek","herkes","yogun  yirtik","","","","","","","","","","","","","","",ag
"evin kapisi  ofis  okul  balikci teknesi","cansiz","alet","balik  bilgisayar","bilgisayar  yazici","iplik  kablo","balik tutmak  iletisim  haberlesmek","herkes","yogun  yirtik","","","","","","","","","","","","","","",ag
"evin kapisi  ofis  okul  balikci teknesi","cansiz","alet","balik  bilgisayar","bilgisayar  yazici","iplik  kablo","balik tutmak  iletisim  haberlesmek","herkes","yogun  yirtik","","","","","","","","","","","","","","",ag
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"sokak  bahce  orman","canli","bitki","toprak  yaprak  ev","odun  karinca  kovan","su","oksijen uretmek  mobilya yapimi  kagit uretimi","insanlar  hayvanlar","uzun  yasli  kucuk  kisa ","degisken","8 m3","80 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","herkes","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"","","","","","","","","","","","","","orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","10 m3","100 kg","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"orman  bahce","canli","bitki","cimen  hayvan","agackakan  sincap","seluloz  su","oksijen uretmek","","uzun  yasli  kurumus","","10 m3","100 kg","kahverengi  yesil","","","","","","","","","","",agac
"cuzdan","cansiz","esya","para","kod","metal  plastik","para yerine kullanma","insanlar","uzun","dikdortgen","15 cm3","100 gr","her renk","","","","","","","","","","",akbil
"cep  ev","cansiz","elektronik para","anahtarlik  para","para","cip  plastik","toplu tasimada seyahat","herkes","indirimli  ucretsiz","anahtar  kart","5 cm3","15 gr","sari  yesil  beyaz","","","","","","","","","","",akbil
"canta","cansiz","esya","","","","yolculuk yapmaya","yolcu","eski  yeni","dikdortgen","","","pembe","","","","","","","","","","",akbil
"cuzdan","cansiz","alet","kimlik","dijital para","plastik","toplu tasimaya binmeye yarar","herkes","ufak","dikdortgen","20 cm3","1 gr","pembe","","","","","","","","","","",akbil
"iett bayiilerinde","cansiz","otobus","otobus","teknolojik devre","plastik  cip","otobuse binmek","toplu tasima kullanan herkes","dolu  bos","dikdortgen","","20 gr","mavi  yesil","","","","","","","","","","",akbil
"orkestra  ev","cansiz","esya","piyano  gitar  keman","tus","plastik","muzik olusturma","insanlar","buyuk  kucuk","dikdortgen","7 m3","1 kg","kahverengi  siyah","","","","","","","","","","",akordeon
"studyo  ev","cansiz","enstruman","muzik aletleri","metal tus","ahsap  plastik","nota calmak  muzik yapmak","muzisyen","koruklu","","150 cm3","5 kg","rengarenk","","","","","","","","","","",akordeon
"sahne","cansiz","","mikrofon","","","calmaya","insan","","dikdortgen","","","kahverengi","","","","","","","","","","",akordeon
"studyo","cansiz","enstruman","klarnet","tus","metal lateks","muzik calmak","muzisyenler","gurultulu","dikdortgen prizma","1500 cm3","15 kg","siyah","","","","","","","","","","",akordeon
"muzik aleti satan yerlerde","cansiz","muzik","gitar  piyano  yan flut","hava  dugme","plastik","muzik uretmek","akordeon calan muzisyeneler","dugmeli  havali","kare","2 m3","5 kg","siyah  beyaz","","","","","","","","","","",akordeon
"araba  isyeri  makine","cansiz","esya","cihaz","kablo  devre","plastik","elektrik depolama","cihazlar","buyuk  kucuk","dikdortgen","6 m3","3 kg","siyah","","","","","","","","","","",akumulator
"araba  ev","cansiz","alet","kablo","elektrot","","guc saglar","herkes","guclu","","","","","","","","","","","","","","",akumulator
"otomobil","cansiz","otomobil","batarya","","","elektirk vermeye","insan","","silindir","","","siyah","","","","","","","","","","",akumulator
"araba","cansiz","cihaz","kablo","elektrot","metal","elektrik depolar","tamirci elektrikci","tehlikeli","dikdortgen prizma","500 cm3","10 kg","siyah","","","","","","","","","","",akumulator
"motorlu tasitlarda","cansiz","araba","motor","pil","plastik  cip","araclara elektrik saglar","motorlu tasitlar","elektrikli","dikdortgen","1 m3","1 kg","siyah","","","","","","","","","","",akumulator
"ev  vucut","cansiz","esya","karisitirici","kirec  su","kirec","kirilan insan vucudunu sabitleme  duvar duzlestirme","insanlar","cok  az","degisken","degisken","degisken","krem","","","","","","","","","","",alci
