@RELATION	text2arff

@ATTRIBUTE	tanimi_nedir	STRING
@ATTRIBUTE	class	{acele_etmek,aciklamak,acilmak,acmak,affetmek,ag,agac,aglamak,akil_etmek,alay_etmek,alismak,almak,anlamak,anlatmak,anmak,araba_surmek,aramak,artmak,arzu_etmek,asik_olmak,asmak,atamak,ates_etmek,atlamak,atmak,ayaga_kalkmak,ayarlamak,ayirmak,ayrilmak,bagirmak,bagislamak,baglamak,bahsetmek,bakmak,balik_tutmak,banyo_yapmak,barismak,basarmak,baslamak,baslatmak,basmak,begenmek,beklemek,belgelemek,belirlemek,belirtmek,benzemek,bikmak,bildirmek,bilmek,binmek,bir_araya_gelmek,birakmak,bitirmek,bitmek,bolmek,borc_almak,borc_vermek,bozdurmak,bozmak,bulmak,bulunmak,bulusmak,buyumek,cagirmak,cagrida_bulunmak,calismak,calmak,can_almak,can_vermek,cani_sikilmak,canlandirmak,canlanmak,canta,carpismak,carpmak,catal,cati,cavdar,cay,cekmece,cekmek,cekyat,celik,cerceve,cereyan_etmek,cevap_vermek,cevaplandirmak,cevirmek,ceza_vermek,cezalandirmak,cicek,cikarmak,cikartma,cikmak,cikolata,cikrik,cimento,cini,civi,cizmek,cokelek,corap,cozmek,cuval,dagitmak,daire,dal,damga,dans_etmek,dantel,davam_etmek,davet_etmek,davranmak,degerlendirmek,degismek,degistirmek,demek,denemek,ders_calismak,desteklemek,deterjan,devam_etmek,dikkat_etmek,dile_getirmek,dilemek,dinlemek,dinlenmek,dogmak,dogrulamak,dokmek,dokunmak,dolasmak,donmek,dovmek,dua_etmek,durdurmak,durmak,dus_yapmak,dusmek,dusunmek,duvar,duymak,duzenlemek,eglenmek,ele_gecirmek,emekli_olmak,emretmek,endise_etmek,engel_olmak,engellemek,ertelemek,etkilemek,ev_tutmak,evlenme_teklif_etmek,evlenmek,ezberlemek,farketmek,farzetmek,feshetmek,fotokopi_cekmek,fren_yapmak,gec_kalmak,gecikmek,gecirmek,gecmek,gelismek,gelistirmek,gelmek,gerceklesmek,gerceklestirmek,gerekmek,geri_vermek,getirmek,gezmek,girmek,gitmek,giyinmek,giymek,gizlemek,gocmek,gondermek,gormek,gorunmek,gorusmek,gostermek,goturmek,goz_atmak,gozaltina_almak,gozden_gecirmek,gozukmek,grev_yapmak,gulmek,guzellesmek,haber_vermek,harcamak,hatirlamak,hatirlatmak,hazirlamak,hazirlanmak,heyecan_duymak,hissetmek,hosa_gitmek,hoslanmak,icmek,idare_etmek,iddia_etmek,ifade_vermek,ihrac_etmek,ihtiva_etmek,ikaz_etmek,ikna_etmek,ikram_etmek,ilan_etmek,ileri_surmek,ilerlemek,ilgilenmek,imkansiz,imtihan_etmek,imtihana_girmek,imzalamak,inanmak,incelemek,inmek,insaat_yapmak,iptal_etmek,isaret_etmek,isbirligi_yapmak,isgal_etmek,isinmak,isirmak,isitmak,isitmek,ismarlamak,israr_etmek,istemek,istifa_etmek,isyan_etmek,ithal_etmek,itiraz_etmek,itmek,izah_etmek,izin_almak,izin_vermek,izlemek,kabul_etmek,kacirmak,kacmak,kahvalti_etmek,kaldirmak,kalkmak,kalmak,kamp_yapmak,kanunlasmak,kapamak,kapanmak,kar_etmek,karar_vermek,karismak,karsi_cikmak,karsilamak,karsilastirmak,katilmak,kaybetmek,kaybolmak,kaydetmek,kaygilanmak,kayit_yaptirmak,kaynaklanmak,kaza_yapmak,kaza_yaptirmak,kazanmak,kesmek,kinamak,kirada_oturmak,kiralamak,kirmak,kizmak,koklamak,kokmak,kolaylamak,kolaylasmak,kontrol_etmek,konusmak,korkmak,korumak,kosmak,kovmak,koymak,kullanmak,kurmak,kurtarmak,kuskulanmak,kutlamak,kuvvetlenmek,lazim_olmak,mahvetmek,mecbur_olmak,memnun_kalmak,memnun_olmak,merak_etmek,mesgul_olmak,meshur_olmak,meydana_cikmak,meydana_gelmek,mezun_olmak,monte_etmek,mudafaa_etmek,mudahale_etmek,munakasa_etmek,muracaat_etmek,musaade_etmek,neden_olmak,nefret_etmek,nezle_olmak,nitelendirmek,noktalamak,not_almak,not_etmek,not_tutmak,odemek,ogrenmek,ogretmek,okumak,oldurmek,olmak,olmek,olusmak,olusturmak,onaylamak,one_surmek,onem_vermek,onermek,ongormek,onlemek,opmek,ortadan_kaldirmak,ortaya_cikarmak,ortaya_koymak,oturmak,oy_vermek,oynamak,ozetlemek,ozlemek,ozur_dilemek,paniklemek,para_kazanmak,pazarlik_etmek,pisirmek,pisman_olmak,pismek,planlamak,postalamak,rahat_almak,rahatsiz_etmek,rastlamak,razi_olmak,reddetmek,rejim_yapmak,restore_etmek,rica_etmek,riske_girmek,riski_girmek,saglamak,saklamak,saldirmak,sanmak,sapmak,saptamak,sarki_soylemek,sarmak,sart,sasirmak,sasmak,satin_almak,satmak,savasmak,savunmak,saymak,selamlamak,sevinmek,sevmek,seyahat_etmek,seyretmek,siginmak,sikayet_etmek,sikilmak,sinava_girmek,sinirlamak,sohbet_etmek,sokmak,son_vermek,sona_ermek,soylemek,soz_vermek,spor_yapmak,suphe_etmek,surdurmek,surmek,takip_etmek,takmak,tanismak,tanistirmak,tasimak,tavsiye_etmek,teklif_etmek,tekrar_etmek,telefon_etmek,temas_etmek,temas_kurmak,temin_etmek,temizlemek,temsil_etmek,tercih_etmek,tercume_etmek,terfi_etmek,terlemek,tesekkur_etmek,tesir_etmek,teslim_etmek,tesvik_etmek,titremek,toplamak,toplanmak,tutmak,tutuklamak,ucmak,ugramak,ugrasmak,ulasmak,umit_etmek,ummak,unutmak,uretmek,usumek,uyanmak,uyarmak,uygulamak,uymak,uyumak,uzanmak,uzerinde_durmak,uzulmek,var_olmak,varmak,vazgecmek,vermek,vurmak,yagmak,yakalamak,yaklasmak,yakmak,yalanlamak,yanit_vermek,yanitlamak,yanitsiz_birakmak,yanmak,yapmak,yaratmak,yasaklamak,yasaklanmak,yasamak,yaslanmak,yatirmak,yatmak,yaymak,yazmak,yedirmek,yemek_yemek,yenmek,yer_almak,yer_vermek,yerine_getirmek,yetismek,yetistirmek,yikamak,yikmak,yol_acmak,yolculuk_yapmak,yollamak,yonetmek,yorulmak,yukselmek,yurumek,yurutmek,yuzmek,zahmet_etmek,zannetmek,zarar_etmek,ziyan_etmek,ziyaret_etmek,zorlamak,zorluk_cekmek,zorunda_olmak}

@DATA
"bir konuyu veya dusunceyi baskasina idrak ettirmek",anlatmak
"bir baska kisinin anlamasi icin konuyu karsi tarafa aciklamak",anlatmak
"gecmiste yasanan olayi hatirlama",anmak
"bir seyi hatirlamak",anmak
"bir seyi hatirlamak",anmak
"yasanmisi hatirlama",anmak
"bir durumu veya kisiyi aklina getirmek",anmak
"gecmise ait bir aniyi veya kimseyi hatirlamak",anmak
"araci hareket ettirmek",araba_surmek
"araci yonetmek",araba_surmek
"araba kullanmak",araba_surmek
"arabayi ilerletmek",araba_surmek
"arabayi hareket ettirmek",araba_surmek
"icinde bulunan arabanin ilerlemesini saglamak",araba_surmek
"Merak edilen ya da kaybedilen seyi bulma",aramak
"bir seyi bulmaya calismak",aramak
"yoklamak",aramak
"iletisim saglama cabasi",aramak
"bir seyi bulmaya calismak",aramak
"kaybedilen bir seyin bulunmasi icin yapilan eylem",aramak
"cogalmak",artmak
"fazla olmak",artmak
"somut veya soyut bir seyin derece veya miktarinin cogalmasi",artmak
"var olanin artmasi",artmak
"bir seyin miktarinin buyumesi",artmak
"sayisi az olan bir seyin cogalmasi",artmak
"asiri istek besleme",arzu_etmek
"istemek",arzu_etmek
"cok istemek",arzu_etmek
"elde etme istegi",arzu_etmek
"bir seyi asiri istemek",arzu_etmek
"duslemek",arzu_etmek
"birseye asiri sevgi beslemek",asik_olmak
"sevmek",asik_olmak
"baglanmak",asik_olmak
"kisiye ozel duygular besleme",asik_olmak
"birini her seyden cok sevmek",asik_olmak
"cok sevmek",asik_olmak
"yukaridan asagiya sarkitmak",asmak
"bir seyi asagiya dogru sarkitmak",asmak
"sarkitmak",asmak
"nesneyi yuksege takma",asmak
"birini ceza olarak oldurmek",asmak
"bir nesneyi yerde durmamasi icin askilik benzeri nesnelerin uzerindeki ozel alanlara ilistirmek",asmak
"bir goreve baslatmak",atamak
"birini tayin etmek",atamak
"goreve getirmek",atamak
"bir ise ogretici secmek",atamak
"birini bir konuda yetkilendirmek",atamak
"bir kisiyi farkli bir goreve getirmek",atamak
"karsidakini etkisiz hale getirmek icin",ates_etmek
"silah ile mermi atmak",ates_etmek
"mermi atmak",ates_etmek
"",ates_etmek
"birini silahla vurmak",ates_etmek
"silahla bir hedefe dogru tetigi cekmek",ates_etmek
"yuksekten asagi inmek icin yapilan eylem",atlamak
"yuksek bir yerden kendini birakmak",atlamak
"yuksek bir yerden ziplamak",atlamak
"nesnenin uzerinden ziplama",atlamak
"bir engeli ziplayrak gecmek",atlamak
"yuksek veya alcak bir kenardan daha alcak bir konuma dogru ziplamak",atlamak
"Havadan varacagi yere gonderme",atmak
"bir seyi firlatmak",atmak
"firlatmak",atmak
"nesneyi firlatma",atmak
"bir seyi firlatmak",atmak
"elimizde bulunan bir nesneyi farkli bir yere dogru savurmak",atmak
"dik konuma gelmek ",ayaga_kalkmak
"dikilmek",ayaga_kalkmak
"ayaklari uzerinde durma pozisyonuna gecmek",ayaga_kalkmak
"otururken harekete gecmek",ayaga_kalkmak
"vucudu dik pozisyonu ",ayaga_kalkmak
"oturur pozisyondan ayaklarin uzerinde pozisyona gecis",ayaga_kalkmak
"Bozuk olan seyi dogru hale getirme",ayarlamak
"duzenlemek",ayarlamak
"uyarlamak",ayarlamak
"",ayarlamak
"cihazi duzgun calisma konumuna getirmek",ayarlamak
"bazi seyleri kendi istedigimiz islemleri yapabilmesi icin konfigure etmek",ayarlamak
"rezerve etmek",ayirmak
"bir butunden bir parcayi bolmek",ayirmak
"uzaklastirma",ayirmak
"nesneleri bolmek siniflandirmak",ayirmak
"iki nesneyi birbirinden uzaklastirmak",ayirmak
"birden fazla objeyi birbirinden uzaklastirmak",ayirmak
"mekandan  insandan uzaklasmak",ayrilmak
"bir seyden uzaklasmak",ayrilmak
"birini ya da bir yeri terk etme",ayrilmak
"kisilerin birbirlerine veda etmesi",ayrilmak
"birinden uzaklasmaa baslamak",ayrilmak
"birisinden uzaklasmak",ayrilmak
"yuksek ses tonu ile konusma",bagirmak
"yuksek bir ses cikarmak",bagirmak
"yuksek sesli konusmak",bagirmak
"sesini yukseltmek",bagirmak
"yuksek sesle ofke ifadesi ",bagirmak
"yuksek sesle konusmak",bagirmak
"yanlis yapan birini affetmek",bagislamak
"affetmek",bagislamak
"affetmek",bagislamak
"hatayi affetmek",bagislamak
"hatayi affetmek",bagislamak
"birini affetmek",bagislamak
"birlesik duruma getirme",baglamak
"bir seyi baska bir seye tutturmak",baglamak
"dugumlemek",baglamak
"",baglamak
"iki nesneyi birbirine kenetlemek",baglamak
"bir nesnenin etrafina farkli bir nesneyi gecirmek",baglamak
"Konuyu birine aktarma",bahsetmek
"bir konu ustunde soz soylemek",bahsetmek
"kisiyi soz ile birine anlatmak",bahsetmek
"",bahsetmek
"birini birine anlatmak",bahsetmek
"bir konuda konusurken farkli bir konu veya kisi hakkinda araya soz sikistirmak",bahsetmek
"gormek icin gozleri cevirmek",bakmak
"gozlerini belli bir yone cevirerek seyretmek",bakmak
"gozler ile yapilan eylem",bakmak
"gorme organiyla izlemek",bakmak
"gozlerle bir yere odaklanma",bakmak
"gozle yapilan eylem",bakmak
"avlanmak icin yapilan eylem",balik_tutmak
"bir alet ile balik yakalamak",balik_tutmak
"olta ile denizden balik elde etmek",balik_tutmak
"deniz urunleri yakalamak",balik_tutmak
"balik avlamaya gitme",balik_tutmak
"deniz veya golde yapilan eylem",balik_tutmak
"temizlenmek icin su ile yikanmak",banyo_yapmak
"yikanmak",banyo_yapmak
"yikanmak",banyo_yapmak
"su ile vucudun temizlenmesi",banyo_yapmak
"suyla pisliklerden temizlenmek",banyo_yapmak
"temizlenmek icin yapilan eylem",banyo_yapmak
"kus oldugun kisi ile aranizdaki sorunu bitirme",barismak
"uzlasi saglamak",barismak
"darginligi kaldirmak",barismak
"",barismak
"savasi sona erdirmek icin yapilan eylem",barismak
"kus olan birden fazla kisinin kuslugunu bitirmesi",barismak
"calisilan konu uzerinde istenilen seviyeye ulasma",basarmak
"muvaffak olmak",basarmak
"ustesinden gelmek",basarmak
"hedefe ulasmak",basarmak
"zorluklarin ustesinden gelmek",basarmak
"istenen hedefi tuttutmak",basarmak
"En basindan konuya girme",baslamak
"bir ise girismek",baslamak
"bir is icin adim atmak",baslamak
"harekete gecmek",baslamak
"bir olaya giris yapmak",baslamak
"bir isi bitirmek amaciyla o ise koyulmak",baslamak
"Bir konuya girmeyi saglama",baslatmak
"bir isin baslamasina yol acmak",baslatmak
"bir is icin adim attirmak",baslatmak
"harekete gecirmek",baslatmak
"bir olaya giris yapilmasini saglamak",baslatmak
"bir islemin bitmesi amaciyla ise koyulmasi",baslatmak
"bir cisimin uzerine cikma",basmak
"bir seyin uzerine ayak tabani ile kuvvet uygulamak",basmak
"ayagini yere koymak",basmak
"",basmak
"ayagini bir cismin ustune koymak",basmak
"ayak ile bir nesnenin uzerine cikmak",basmak
"kisinin ilgisini kazanma",begenmek
"onaylamak",begenmek
"hos bulmak",begenmek
"hosa gitmek",begenmek
"bir nesneye iyi bir deger bicmek",begenmek
"gorulen bir seyin hosa gitmesi",begenmek
"yapilacak olayin zamanina ulasma",beklemek
"bir yerde durmak",beklemek
"bir duruma kadar sure vermek",beklemek
"",beklemek
"bir yerde durmak",beklemek
"gelmekte olan bir olay veya nesnenin gelmesini umarak yapilan eylem",beklemek
"Yazi ile konuyu saklama",belgelemek
"bir seyi belge ile gostermek",belgelemek
"yazili kanitlandirma",belgelemek
"",belgelemek
"bir bilgiyi kayit altina almak",belgelemek
"daha sonrasinda kanit olarak sunulabilecek halde mevcut durumun kayda gecirilmesi",belgelemek
"konu secimi yapma",belirlemek
"belirli kilmak",belirlemek
"belirli duruma getirmek",belirlemek
"",belirlemek
"bir konu ile ilgili dusunceyi sabitlemek",belirlemek
"bir konu icin girdi veya ciktilarin yardimiyla sonuca varilmasi",belirlemek
"konuya yonlendirme",belirtmek
"aciklamak",belirtmek
"acikca soylemek",belirtmek
"aciklamak",belirtmek
"bir dusunceyi ifade etmek",belirtmek
"bir konunun uzerinde durmak",belirtmek
"iki esyanin  kisin  birbirini animsatmasi",benzemek
"gibi gorunmek",benzemek
"animsatmak",benzemek
"ortak ozelliklerin olmasi",benzemek
"biriyle yakin ozelliklere sahip olmak",benzemek
"birden fazla nesnenin birbiri ile ayni birden fazla yonunun bulunmasi",benzemek
"surekli yapilmasindan hoslanmama",bikmak
"dayanamaz duruma gelmek",bikmak
"usanmak",bikmak
"",bikmak
"bir duruma dayanamamak",bikmak
"surekli tekrar eden bir durum karsisinda o durumdan hosnutsuzluk duymak",bikmak
"konu hakkinda bilgi vermek",bildirmek
"bir haberi paylasmak",bildirmek
"haber vermek",bildirmek
"",bildirmek
"bir haberi iletmek",bildirmek
"bir kisiye bir konu hakkinda haber vermek",bildirmek
"konu hakkinda bilgi sahibi olma",bilmek
